ItemCode;ItemProviderCode;Description;CreationDate;IsActive;FILTRO PER TIPO;COLLAUDO         MESE     ANNO;;REVISIONE MESE   ANNO;;Intervento Richiesto;Provenienza;Destinazione;prog. Scheda;StateId;DataUltima Movimentazione;OperatoreUltimoMovimento;NOTE O PROBLEMI
1;;CO2 Kg2;;;2;;;;;1;EMME Codice 23020-74;ROITI 6 ;14;ASSEGN SET 23;07/08/2023;A;
2;;CO2 Kg2;;;2;;;;;1;EMME Codice 23020-74;VALLI GIANNETTO 9;21;ASSEGN SET 23;28/07/2023;A;
3;;EP6CE;;;2;;;;;1;"ANAF Codice 32.897E.F555.CC
EMME Codice 21063-510";GOZZADINI 72;39;ASSEGN SET 23;07/08/2023;A;
4;;EP6CE;;;2;;;;;1;"ANAF Codice 32.897E.F555.CC
EMME Codice 21063-510";ANDREA BARBATO 28 - E5;43;ASSEGN SET 23;07/08/2023;A;
5;;EP6CE;;;2;;;;;1;"ANAF Codice 32.897E.F555.CC
EMME Codice 21063-510";MINUCIO FELICE 6 ;47;ASSEGN SET 23;07/08/2023;A;
6;;EP6CE;;;2;;;;;1;"ANAF Codice 32.897E.F555.CC
EMME Codice 21063-510";NAVIGATORI 7 ;11;ASSEGN SET 23;07/08/2023;A;
7;;CO2 Kg2;;;6;;;6;23;R;SAVASTANO 18;ANTONIO GRAMSCI 81;107;USO;18/07/2023;A;R COM 6/23
8;;EP6CE;;;6;6;23;6;23;C+R;TREVISO 21;FLORA 19;;USO;17/07/2023;G;C+R COM 6/23
9;AIR;EP6CE;;;6;10;20;6;23;R+V;STUCCHI 8;FLORA 19;;USO;17/07/2023;G;R+V COM 6/23
10;;EP6CE;;;6;6;23;6;23;C+R;GALLO 37;FLORA 19;;USO;17/07/2023;G;C+R COM 6/23
11;;EP6CE;;;6;6;23;6;23;C+R;PADOVA 1;FLORA 19;;USO;17/07/2023;G;C+R COM 6/23
12;CSQ;EP6CE;;;6;6;23;6;23;C+R;EDIFICIO 3;DE ROSSI 30-34;79;USO;18/07/2023;A;C+R COM 6/23
13;CSQ;EP6CE;;;6;;;6;23;R;TIBERINA 74-76;VENEZIA GIULIA 24;;USO;17/07/2023;G;R COM 6/23
14;PII;EP6CE;;;6;;;6;23;R;POLEUR;VENEZIA GIULIA 24;;USO;17/07/2023;G;R COM 6/23
15;PII;EP6CE;;;6;;;6;23;R;VAL PADANA 43;VENEZIA GIULIA 24;;USO;17/07/2023;G;R COM 6/23
16;PII;EP6CE;;;6;;;6;23;R;EDIFICIO 3;VENEZIA GIULIA 24;;USO;17/07/2023;G;R COM 6/23
